 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   71        8984    7.958577e+00     5.829e-16     2.401e-01     1.159e+00     1.390e+03  
   72        9108    7.873551e+00     5.412e-16     3.430e-01     1.394e+00     7.230e+02  
   73        9234    7.775695e+00     5.274e-16     1.681e-01     7.728e-01     6.345e+02  
   74        9359    7.651365e+00     6.245e-16     2.401e-01     9.004e-01     6.848e+02  
   75        9483    7.613045e+00     6.384e-16     3.430e-01     1.305e+00     1.615e+02  
   76        9609    7.533410e+00     6.661e-16     1.681e-01     8.167e-01     6.831e+02  
   77        9733    7.388477e+00     5.967e-16     3.430e-01     1.190e+00     1.124e+03  
   78        9858    7.313498e+00     5.551e-16     2.401e-01     1.086e+00     3.948e+02  
   79        9981    7.172637e+00     5.551e-16     4.900e-01     8.488e-01     1.784e+02  
   80       10107    7.094087e+00     5.135e-16     1.681e-01     5.749e-01     1.327e+02  
   81       10232    7.065796e+00     4.580e-16     2.401e-01     7.452e-01     2.153e+02  
   82       10354    6.902544e+00     5.829e-16     7.000e-01     8.339e-01     2.068e+02  
   83       10478    6.882911e+00     6.939e-16     3.430e-01     4.661e-01     4.747e+02  
   84       10602    6.797322e+00     5.967e-16     3.430e-01     7.315e-01     4.714e+02  
   85       10723    6.592778e+00     4.441e-16     1.000e+00     7.635e-01     1.494e+02  
   86       10846    6.565517e+00     4.441e-16     4.900e-01     7.555e-01     1.200e+02  
   87       10970    6.522310e+00     3.747e-16     3.430e-01     5.420e-01     1.998e+02  
   88       11092    6.438020e+00     4.025e-16     7.000e-01     1.064e+00     1.742e+02  
   89       11214    6.421096e+00     5.829e-16     7.000e-01     1.223e+00     3.476e+02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   90       11335    6.121812e+00     6.800e-16     1.000e+00     8.669e-01     1.579e+02  
   91       11459    6.103506e+00     5.690e-16     3.430e-01     3.036e-01     1.686e+02  
   92       11581    6.073758e+00     5.829e-16     7.000e-01     1.193e+00     3.349e+02  
   93       11702    5.927750e+00     6.523e-16     1.000e+00     7.171e-01     1.511e+02  
   94       11825    5.920486e+00     6.523e-16     4.900e-01     6.582e-01     3.044e+02  
   95       11947    5.904898e+00     5.135e-16     7.000e-01     5.704e-01     1.843e+02  
   96       12068    5.889918e+00     4.441e-16     1.000e+00     1.348e+00     4.545e+02  
   97       12189    5.654127e+00     6.384e-16     1.000e+00     4.334e-01     8.714e+01  
   98       12310    5.639842e+00     8.882e-16     1.000e+00     6.236e-01     2.226e+02  
   99       12431    5.633724e+00     6.661e-16     1.000e+00     9.546e-01     2.806e+02  
  100       12552    5.577154e+00     4.441e-16     1.000e+00     1.132e+00     3.353e+02  
  101       12673    5.496764e+00     4.580e-16     1.000e+00     6.911e-01     3.158e+02  
  102       12794    5.452184e+00     8.743e-16     1.000e+00     4.839e-01     2.564e+02  
  103       12915    5.380379e+00     6.661e-16     1.000e+00     7.255e-01     1.025e+02  
  104       13036    5.345019e+00     8.882e-16     1.000e+00     5.318e-01     1.059e+02  
  105       13157    5.292544e+00     8.882e-16     1.000e+00     5.373e-01     1.788e+02  
  106       13278    5.178213e+00     1.110e-15     1.000e+00     2.255e+00     8.853e+01  
  107       13399    5.148747e+00     6.661e-16     1.000e+00     4.188e-01     1.362e+02  
  108       13520    5.134459e+00     4.441e-16     1.000e+00     4.898e-01     1.022e+02  
  109       13641    5.098074e+00     6.661e-16     1.000e+00     2.989e-01     3.683e+01  
  110       13762    5.072335e+00     8.882e-16     1.000e+00     4.017e-01     3.564e+01  
  111       13883    5.046545e+00     1.096e-15     1.000e+00     5.867e-01     7.183e+01  
  112       14004    5.016975e+00     6.661e-16     1.000e+00     8.397e-01     1.257e+02  
  113       14125    4.998876e+00     1.110e-15     1.000e+00     8.898e-01     2.127e+02  
  114       14246    4.974809e+00     6.661e-16     1.000e+00     1.347e+00     1.062e+02  
