 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  308       37721    3.865803e+00     1.124e-15     1.000e+00     2.111e-01     1.093e+01  
  309       37842    3.865542e+00     8.743e-16     1.000e+00     1.018e-01     8.473e+00  
  310       37963    3.865195e+00     8.882e-16     1.000e+00     1.644e-01     8.134e+00  
  311       38084    3.864871e+00     1.110e-15     1.000e+00     1.360e-01     1.072e+01  
  312       38205    3.864513e+00     1.110e-15     1.000e+00     1.405e-01     1.355e+01  
  313       38326    3.864137e+00     1.110e-15     1.000e+00     1.164e-01     1.264e+01  
  314       38447    3.863786e+00     8.743e-16     1.000e+00     1.639e-01     1.504e+01  
  315       38568    3.863328e+00     6.800e-16     1.000e+00     9.011e-02     7.575e+00  
  316       38689    3.862933e+00     6.661e-16     1.000e+00     1.665e-01     1.726e+01  
  317       38810    3.862458e+00     6.661e-16     1.000e+00     1.355e-01     9.024e+00  
  318       38931    3.862159e+00     1.096e-15     1.000e+00     1.289e-01     7.643e+00  
  319       39052    3.861906e+00     1.332e-15     1.000e+00     6.967e-02     3.464e+00  
  320       39173    3.861762e+00     1.332e-15     1.000e+00     1.196e-01     4.031e+00  
  321       39294    3.861631e+00     1.124e-15     1.000e+00     9.114e-02     7.251e+00  
  322       39415    3.861564e+00     6.661e-16     1.000e+00     8.218e-02     1.255e+00  
  323       39536    3.861472e+00     9.021e-16     1.000e+00     2.132e-02     1.634e+00  
  324       39657    3.861434e+00     8.882e-16     1.000e+00     1.104e-02     1.284e+00  
  325       39778    3.861407e+00     6.661e-16     1.000e+00     2.872e-02     2.713e+00  
  326       39899    3.861391e+00     8.882e-16     1.000e+00     3.225e-02     1.073e+00  
  327       40020    3.861375e+00     1.096e-15     1.000e+00     2.123e-02     1.422e+00  
  328       40141    3.861363e+00     8.882e-16     1.000e+00     3.394e-02     1.441e+00  
  329       40262    3.861340e+00     6.800e-16     1.000e+00     1.736e-02     1.344e+00  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  330       40383    3.861309e+00     8.882e-16     1.000e+00     2.502e-02     1.347e+00  
  331       40504    3.861271e+00     6.661e-16     1.000e+00     2.527e-02     1.397e+00  
  332       40625    3.861233e+00     6.523e-16     1.000e+00     1.770e-02     1.014e+00  
  333       40746    3.861199e+00     6.661e-16     1.000e+00     1.848e-02     8.886e-01  
  334       40867    3.861177e+00     6.661e-16     1.000e+00     1.347e-02     1.381e+00  
  335       40988    3.861152e+00     9.021e-16     1.000e+00     1.472e-02     2.041e+00  
  336       41109    3.861133e+00     9.021e-16     1.000e+00     1.263e-02     2.330e+00  
  337       41230    3.861115e+00     8.882e-16     1.000e+00     1.302e-02     2.602e+00  
  338       41351    3.861097e+00     8.882e-16     1.000e+00     1.298e-02     2.614e+00  
  339       41472    3.861069e+00     8.882e-16     1.000e+00     1.773e-02     2.633e+00  
  340       41593    3.861029e+00     1.110e-15     1.000e+00     2.597e-02     2.822e+00  
  341       41714    3.860983e+00     1.110e-15     1.000e+00     3.295e-02     2.926e+00  
  342       41835    3.860944e+00     1.110e-15     1.000e+00     4.573e-02     2.809e+00  
  343       41956    3.860923e+00     1.110e-15     1.000e+00     3.060e-02     1.831e+00  
  344       42077    3.860914e+00     1.110e-15     1.000e+00     1.858e-02     1.093e+00  
  345       42198    3.860909e+00     1.110e-15     1.000e+00     1.399e-02     9.702e-01  
  346       42319    3.860907e+00     8.882e-16     1.000e+00     1.070e-02     7.979e-01  
  347       42440    3.860905e+00     8.882e-16     1.000e+00     7.216e-03     5.951e-01  
  348       42561    3.860905e+00     8.882e-16     1.000e+00     6.936e-03     6.744e-01  
  349       42682    3.860905e+00     6.661e-16     1.000e+00     6.330e-03     8.812e-01  
  350       42804    3.860905e+00     8.188e-16     7.000e-01     3.960e-03     7.965e-01  
  351       42925    3.860905e+00     8.882e-16     1.000e+00     6.786e-03     4.821e-01  
  352       43046    3.860904e+00     8.882e-16     1.000e+00     4.954e-03     3.158e-01  
  353       43167    3.860902e+00     9.021e-16     1.000e+00     8.870e-03     3.377e-01  
  354       43288    3.860899e+00     8.743e-16     1.000e+00     1.033e-02     4.518e-01  
  355       43409    3.860893e+00     8.882e-16     1.000e+00     1.372e-02     4.883e-01  
  356       43530    3.860887e+00     8.882e-16     1.000e+00     1.435e-02     3.805e-01  
  357       43651    3.860882e+00     8.882e-16     1.000e+00     1.204e-02     3.658e-01  
  358       43772    3.860879e+00     9.021e-16     1.000e+00     6.501e-03     3.215e-01  
  359       43893    3.860878e+00     6.661e-16     1.000e+00     3.797e-03     3.656e-01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  360       44014    3.860878e+00     8.882e-16     1.000e+00     3.129e-03     4.112e-01  
  361       44135    3.860878e+00     8.743e-16     1.000e+00     2.372e-03     4.075e-01  
  362       44256    3.860877e+00     9.159e-16     1.000e+00     1.739e-03     4.210e-01  
  363       44377    3.860877e+00     1.110e-15     1.000e+00     1.745e-03     4.147e-01  
  364       44498    3.860876e+00     8.882e-16     1.000e+00     2.512e-03     3.828e-01  
  365       44619    3.860875e+00     6.661e-16     1.000e+00     4.354e-03     4.692e-01  
  366       44740    3.860874e+00     6.661e-16     1.000e+00     8.025e-03     5.713e-01  
  367       44861    3.860874e+00     8.882e-16     1.000e+00     1.457e-02     6.522e-01  
  368       44982    3.860873e+00     8.743e-16     1.000e+00     2.506e-02     6.876e-01  
  369       45104    3.860872e+00     8.882e-16     7.000e-01     2.859e-02     7.729e-01  
  370       45226    3.860872e+00     8.882e-16     7.000e-01     5.299e-02     9.103e-01  
  371       45348    3.860871e+00     9.021e-16     7.000e-01     6.582e-02     1.010e+00  
  372       45470    3.860869e+00     1.041e-15     7.000e-01     6.875e-02     1.903e+00  
  373       45591    3.860866e+00     8.882e-16     1.000e+00     7.445e-02     2.078e+00  
  374       45712    3.860860e+00     1.110e-15     1.000e+00     1.869e-02     7.829e-01  
  375       45752    3.860860e+00     1.110e-15     6.367e-07     4.613e-08     2.696e-01  

<a href = "matlab: helpview('optim','local_min_poss_with_constr','CSHelpWindow');">Local minimum possible. Constraints satisfied</a>.

fmincon stopped because the <a href = "matlab: helpview('optim','norm_curr_step_simple_fminconip','CSHelpWindow');">size of the current step</a> is less than
the value of the <a href = "matlab: helpview('optim','step_size_tol','CSHelpWindow');">step size tolerance</a> and constraints are 
satisfied to within the value of the <a href = "matlab: helpview('optim','constraint_tolerance','CSHelpWindow');">constraint tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:sqpLineSearch:Exit2basic','fmincon'},{'optimlib:sqpLineSearch:Exit2detailed','1.000000e-08','1.110223e-15','1.000000e-06'},true,true);;">stopping criteria details</a>>
Neural Control Personalization Runtime: 0.012290 Hours
